date,cycle_number,valley_chg,peak_dhg,flat_chg,peak2_dhg
1/1/20,0,229,195,229,0
1/2/20,2,2,193,229,200
1/3/20,4,231,197,229,198
1/4/20,6,229,196,654,0
1/7/20,8,231,197,135,199
1/8/20,10,231,197,228,199
1/9/20,12,231,195,180,0
1/10/20,14,47,190,227,198
1/11/20,16,230,197,229,199
1/12/20,18,232,199,227,0
1/14/20,20,230,195,226,197
1/15/20,22,229,194,227,199
1/16/20,24,232,195,227,199
1/17/20,26,230,196,228,199
1/18/20,28,230,197,228,182
1/19/20,30,217,193,222,2
2/17/20,32,2,178,221,4
2/18/20,34,12,190,224,170
2/19/20,36,195,192,226,163
2/20/20,38,188,194,227,156
2/21/20,40,1,194,227,159
2/22/20,42,185,195,226,197
2/23/20,44,228,197,227,40
2/25/20,46,48,193,228,196
2/26/20,48,229,197,228,261
2/28/20,50,229,197,228,197
2/29/20,52,229,197,227,197
3/1/20,54,228,197,228,198
3/2/20,56,228,195,228,197
3/3/20,58,229,197,190,196
3/4/20,60,229,197,228,197
3/5/20,62,230,196,227,197
3/26/20,64,228,196,227,197
3/27/20,66,229,195,228,198
3/28/20,68,228,195,227,199
3/29/20,70,228,196,228,153
3/30/20,72,229,197,226,197
3/31/20,74,228,196,229,198
4/1/20,76,228,188,217,196
4/2/20,78,227,182,210,196
4/3/20,80,228,195,228,197
4/4/20,80,227,9,12,74
4/5/20,82,144,186,214,194
4/6/20,84,228,187,216,196
4/7/20,86,229,182,212,198
4/8/20,88,229,183,213,198
4/9/20,90,229,183,213,197
4/10/20,92,229,188,215,195
4/11/20,94,229,196,227,197
4/14/20,96,227,195,220,193
4/15/20,98,228,186,215,196
4/16/20,100,228,195,228,197
4/17/20,102,227,196,228,196
4/18/20,104,229,197,225,195
4/19/20,106,229,196,226,151
4/20/20,108,228,193,219,194
4/21/20,110,227,196,227,196
4/22/20,112,227,148,210,197
4/23/20,114,228,189,214,193
4/24/20,116,228,184,214,196
4/25/20,118,228,182,211,196
4/26/20,120,228,175,202,187
4/27/20,122,230,197,225,195
4/28/20,124,227,183,212,198
4/29/20,126,231,190,216,193
4/30/20,128,227,196,228,197
5/1/20,130,228,172,198,197
5/2/20,132,228,191,217,193
5/3/20,134,228,188,215,193
5/4/20,136,228,187,214,195
5/5/20,138,83,74,228,197
5/6/20,140,228,122,142,196
5/7/20,142,229,197,228,196
5/8/20,144,227,196,228,196
5/9/20,146,229,197,228,197
5/10/20,148,229,196,222,171
5/11/20,150,229,196,228,197
5/12/20,152,229,187,216,194
5/13/20,154,228,188,217,195
5/14/20,156,228,197,457,0
5/16/20,158,227,193,221,192
5/17/20,160,228,177,205,157
5/18/20,162,228,192,216,192
5/19/20,164,230,189,216,193
5/20/20,166,228,189,216,193
5/21/20,168,228,197,229,196
5/22/20,170,228,198,228,197
5/23/20,172,229,192,217,192
5/24/20,174,229,190,218,195
5/25/20,176,228,197,227,197
5/26/20,178,229,195,227,196
5/27/20,180,228,196,228,196
5/28/20,182,228,197,228,197
5/29/20,184,229,196,227,197
5/30/20,186,228,197,227,198
6/1/20,188,199,195,229,196
6/2/20,190,227,193,221,192
6/3/20,192,227,195,227,196
6/4/20,194,228,191,217,191
6/5/20,196,228,196,227,197
6/6/20,198,228,197,227,196
6/7/20,200,227,177,204,195
6/8/20,202,227,195,223,193
6/9/20,204,227,195,227,195
6/10/20,206,174,152,229,196
6/11/20,208,227,197,229,197
6/12/20,210,228,196,228,196
6/13/20,212,227,196,224,194
6/26/20,214,205,196,228,197
6/27/20,216,228,195,229,195
6/28/20,218,228,197,227,197
6/29/20,220,228,196,227,196
7/1/20,222,228,197,229,197
7/3/20,222,2,0,2,0
7/4/20,222,4,0,2,0
7/5/20,222,3,0,3,0
